upper_power(kW), lower_power(kW), upper_energy(kWh), lower_energy(kWh)
96.285714, -183.714286, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
94.285714, -185.714286, 8.928571, -8.928571
93.857143, -186.142857, 8.928571, -8.928571
93.071429, -186.928571, 8.928571, -8.928571
92.714286, -187.285714, 8.928571, -8.928571
93.500000, -186.500000, 8.928571, -8.928571
93.500000, -186.500000, 8.928571, -8.928571
93.500000, -186.500000, 8.928571, -8.928571
94.285714, -185.714286, 8.928571, -8.928571
97.428571, -182.571429, 8.928571, -8.928571
103.000000, -177.000000, 8.928571, -8.928571
108.571429, -171.428571, 8.928571, -8.928571
112.928571, -167.071429, 8.928571, -8.928571
115.714286, -164.285714, 8.928571, -8.928571
116.500000, -163.500000, 8.928571, -8.928571
115.285714, -164.714286, 8.928571, -8.928571
110.142857, -169.857143, 8.928571, -8.928571
105.785714, -174.214286, 8.928571, -8.928571
102.642857, -177.357143, 8.928571, -8.928571
100.642857, -179.357143, 8.928571, -8.928571
98.285714, -181.714286, 8.928571, -8.928571
97.428571, -182.571429, 8.928571, -8.928571
96.285714, -183.714286, 8.928571, -8.928571
97.071429, -182.928571, 8.928571, -8.928571
95.857143, -184.142857, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
94.714286, -185.285714, 8.928571, -8.928571
93.857143, -186.142857, 8.928571, -8.928571
93.500000, -186.500000, 8.928571, -8.928571
93.857143, -186.142857, 8.928571, -8.928571
94.285714, -185.714286, 8.928571, -8.928571
94.285714, -185.714286, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
98.285714, -181.714286, 8.928571, -8.928571
103.785714, -176.214286, 8.928571, -8.928571
109.357143, -170.642857, 8.928571, -8.928571
113.714286, -166.285714, 8.928571, -8.928571
116.500000, -163.500000, 8.928571, -8.928571
117.285714, -162.714286, 8.928571, -8.928571
116.142857, -163.857143, 8.928571, -8.928571
110.928571, -169.071429, 8.928571, -8.928571
106.571429, -173.428571, 8.928571, -8.928571
103.428571, -176.571429, 8.928571, -8.928571
101.428571, -178.571429, 8.928571, -8.928571
99.071429, -180.928571, 8.928571, -8.928571
98.285714, -181.714286, 8.928571, -8.928571
97.428571, -182.571429, 8.928571, -8.928571
98.285714, -181.714286, 8.928571, -8.928571
97.071429, -182.928571, 8.928571, -8.928571
95.857143, -184.142857, 8.928571, -8.928571
95.500000, -184.500000, 8.928571, -8.928571
94.714286, -185.285714, 8.928571, -8.928571
94.285714, -185.714286, 8.928571, -8.928571
94.714286, -185.285714, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
95.857143, -184.142857, 8.928571, -8.928571
99.071429, -180.928571, 8.928571, -8.928571
104.214286, -175.785714, 8.928571, -8.928571
109.785714, -170.214286, 8.928571, -8.928571
114.142857, -165.857143, 8.928571, -8.928571
116.928571, -163.071429, 8.928571, -8.928571
118.071429, -161.928571, 8.928571, -8.928571
116.928571, -163.071429, 8.928571, -8.928571
111.357143, -168.642857, 8.928571, -8.928571
107.357143, -172.642857, 8.928571, -8.928571
103.785714, -176.214286, 8.928571, -8.928571
101.857143, -178.142857, 8.928571, -8.928571
99.857143, -180.142857, 8.928571, -8.928571
98.642857, -181.357143, 8.928571, -8.928571
97.857143, -182.142857, 8.928571, -8.928571
98.642857, -181.357143, 8.928571, -8.928571
97.428571, -182.571429, 8.928571, -8.928571
96.285714, -183.714286, 8.928571, -8.928571
95.857143, -184.142857, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
94.714286, -185.285714, 8.928571, -8.928571
95.071429, -184.928571, 8.928571, -8.928571
95.500000, -184.500000, 8.928571, -8.928571
95.500000, -184.500000, 8.928571, -8.928571
96.285714, -183.714286, 8.928571, -8.928571
99.428571, -180.571429, 8.928571, -8.928571
105.000000, -175.000000, 8.928571, -8.928571
110.571429, -169.428571, 8.928571, -8.928571
114.928571, -165.071429, 8.928571, -8.928571
118.071429, -161.928571, 8.928571, -8.928571
