upper_power(kW), lower_power(kW), upper_energy(kWh), lower_energy(kWh)
112.121908, -171.378092, 13.735336, -13.735336
111.086207, -172.413793, 13.735336, -13.735336
110.416047, -173.083953, 13.735336, -13.735336
110.050506, -173.449494, 13.735336, -13.735336
109.380346, -174.119654, 13.735336, -13.735336
109.075728, -174.424272, 13.735336, -13.735336
109.745888, -173.754112, 13.735336, -13.735336
109.745888, -173.754112, 13.735336, -13.735336
109.745888, -173.754112, 13.735336, -13.735336
110.416047, -173.083953, 13.735336, -13.735336
113.096686, -170.403314, 13.735336, -13.735336
117.848727, -165.651273, 13.735336, -13.735336
122.600768, -160.899232, 13.735336, -13.735336
126.317107, -157.182893, 13.735336, -13.735336
128.693128, -154.806872, 13.735336, -13.735336
129.363287, -154.136713, 13.735336, -13.735336
128.327586, -155.172414, 13.735336, -13.735336
123.941087, -159.558913, 13.735336, -13.735336
120.224747, -163.275253, 13.735336, -13.735336
117.544109, -165.955891, 13.735336, -13.735336
115.838248, -167.661752, 13.735336, -13.735336
113.827769, -169.672231, 13.735336, -13.735336
113.096686, -170.403314, 13.735336, -13.735336
112.121908, -171.378092, 13.735336, -13.735336
112.792068, -170.707932, 13.735336, -13.735336
111.756367, -171.743633, 13.735336, -13.735336
111.086207, -172.413793, 13.735336, -13.735336
110.781589, -172.718411, 13.735336, -13.735336
110.050506, -173.449494, 13.735336, -13.735336
109.745888, -173.754112, 13.735336, -13.735336
110.050506, -173.449494, 13.735336, -13.735336
110.416047, -173.083953, 13.735336, -13.735336
110.416047, -173.083953, 13.735336, -13.735336
111.086207, -172.413793, 13.735336, -13.735336
113.827769, -169.672231, 13.735336, -13.735336
118.518886, -164.981114, 13.735336, -13.735336
123.270927, -160.229073, 13.735336, -13.735336
126.987267, -156.512733, 13.735336, -13.735336
129.363287, -154.136713, 13.735336, -13.735336
130.033447, -153.466553, 13.735336, -13.735336
129.058669, -154.441331, 13.735336, -13.735336
124.611246, -158.888754, 13.735336, -13.735336
120.894907, -162.605093, 13.735336, -13.735336
118.214268, -165.285732, 13.735336, -13.735336
116.508407, -166.991593, 13.735336, -13.735336
114.497929, -169.002071, 13.735336, -13.735336
113.827769, -169.672231, 13.735336, -13.735336
113.096686, -170.403314, 13.735336, -13.735336
113.827769, -169.672231, 13.735336, -13.735336
112.792068, -170.707932, 13.735336, -13.735336
111.756367, -171.743633, 13.735336, -13.735336
111.451749, -172.048251, 13.735336, -13.735336
110.781589, -172.718411, 13.735336, -13.735336
110.416047, -173.083953, 13.735336, -13.735336
